iter	F1	Logloss
595	0.6644865699	0.6245166726
596	0.6645024315	0.624497035
597	0.6645833829	0.6244727726
598	0.6645689875	0.6244599654
599	0.6646048764	0.6244297263
600	0.6646249478	0.6243800631
601	0.6646696478	0.6243551603
602	0.6646883631	0.6243384399
603	0.6647127581	0.6243257039
604	0.6646751695	0.6242859306
605	0.6647127708	0.624264443
606	0.6647228427	0.6242448766
607	0.6647818538	0.6242239582
608	0.6648597394	0.6242104396
609	0.6647946724	0.6241445539
610	0.6648004901	0.6241279047
611	0.6647832196	0.6241169474
612	0.6647989781	0.6240977367
613	0.6648293003	0.6240685649
614	0.6648522719	0.6240413853
615	0.6648825608	0.6240265859
616	0.6648927879	0.6239901567
617	0.6649274509	0.6239684557
618	0.6649418357	0.623953016
619	0.6649648265	0.6239325246
620	0.6649908632	0.6239194328
621	0.6650155657	0.6238974472
622	0.6650097531	0.6238766712
623	0.665034261	0.6238608757
624	0.6650139006	0.6238485666
625	0.6650456638	0.6238337673
626	0.6650428472	0.6238203198
627	0.6650845755	0.6237791234
628	0.665093165	0.6237300294
629	0.6650800491	0.6237160127
630	0.6651219998	0.6236928887
631	0.6651783201	0.6236764528
632	0.665195691	0.6236545384
633	0.6651942793	0.6236326951
634	0.6652361909	0.6236184649
635	0.6652433558	0.6235831741
636	0.6653140766	0.6235641057
637	0.6653602555	0.6234841322
638	0.6653819004	0.6234774441
639	0.6653529752	0.6234568103
640	0.6653529837	0.6234400899
641	0.665370307	0.6234197408
642	0.6654178893	0.6233987513
643	0.6654424423	0.6233878652
644	0.6654338124	0.6233784021
645	0.665455514	0.6233596183
646	0.6654584037	0.62334674
647	0.6655450248	0.6233296638
648	0.6654987754	0.6233139395
649	0.6655882754	0.6232961518
650	0.6656127304	0.6232780084
651	0.6656141787	0.6232610745
652	0.6656517182	0.6232437848
653	0.6656633029	0.6232277048
654	0.6656560034	0.6232035135
655	0.6656574385	0.623182524
656	0.665697857	0.6231616768
657	0.6657324846	0.6231389797
658	0.6656834081	0.6231196267
659	0.6657411659	0.6230969296
660	0.6657483751	0.6230880357
661	0.6657584624	0.6230769362
662	0.6657368102	0.6230664059
663	0.6657541426	0.6230600023
664	0.6657946483	0.6230469106
665	0.6658148957	0.6230268461
666	0.6658394562	0.6230155331
667	0.6658234647	0.6229746925
668	0.665832144	0.6229526358
669	0.6658090504	0.6229302233
670	0.6658148127	0.622914072
671	0.6658523803	0.6228959997
672	0.6658480702	0.6228489691
673	0.6658898544	0.622795606
674	0.6658811859	0.6227826565
675	0.6658970755	0.6227568999
676	0.665946166	0.6227443062
677	0.6659302195	0.6227045329
678	0.6659447096	0.6226932911
679	0.6659764787	0.6226679614
680	0.6659418155	0.6226319591
681	0.6659793993	0.6226178713
682	0.6659259404	0.6226047795
683	0.665889819	0.6225882014
684	0.665927349	0.622533771
685	0.6659461005	0.6225154141
686	0.666005281	0.6224631183
687	0.6659561702	0.6224397808
688	0.6659850492	0.6224195028
689	0.6659648211	0.6224025689
690	0.6659749015	0.6223832159
691	0.6660312	0.6223739663
692	0.6659416742	0.622359167
693	0.6659878727	0.6223481386
694	0.6660282935	0.6223370391
695	0.665987833	0.6223297105
696	0.666047084	0.6223048077
697	0.6660918395	0.6222957004
698	0.6660586195	0.6222769166
699	0.666065811	0.6222594135
700	0.6661481499	0.622213877
701	0.6662030508	0.622196872
702	0.6661669414	0.6221887608
703	0.6661799084	0.6221642849
704	0.6661726598	0.6221462838
705	0.6661770091	0.6221297056
706	0.6661885437	0.622119958
707	0.6662159703	0.6221044471
708	0.6662492119	0.6220952686
709	0.666302671	0.62208175
710	0.6663604514	0.6220685159
711	0.6663387767	0.6220567761
712	0.6663358871	0.6220448227
713	0.6663517686	0.6220333674
714	0.6664485615	0.6220172162
715	0.6664254609	0.6219995708
716	0.6664861	0.6219475596
717	0.6664788793	0.6219292738
718	0.6664514102	0.6218495849
719	0.666468745	0.6218331491
720	0.6664470619	0.6218100962
721	0.6664658447	0.6217889645
722	0.6664412862	0.6217817782
723	0.6664672891	0.6217689711
724	0.6665221923	0.6217130466
725	0.6665005136	0.6216954723
726	0.6665091845	0.6216803883
727	0.6665438507	0.6216653044
728	0.666536626	0.6216558413
729	0.6666016497	0.6216475878
730	0.6665814215	0.6216300136
731	0.6666883407	0.6215442769
732	0.666692676	0.6215229316
733	0.6667244672	0.6215084169
734	0.6667287998	0.6214977442
735	0.666747587	0.6214837275
736	0.6667288018	0.6214590382
737	0.6667360289	0.6214432427
738	0.6668270794	0.6213574349
739	0.6668054029	0.6213448412
740	0.6667923972	0.6213283342
741	0.6668083022	0.621319298
742	0.6668444283	0.6213090523
743	0.6668849061	0.6212922607
744	0.6668993808	0.6211913689
745	0.666902291	0.6211723716
746	0.6669080769	0.6211486784
747	0.6669832658	0.6210973787
748	0.6669572515	0.621080516
749	0.666997708	0.6210632975
750	0.666987584	0.6210532652
751	0.6670338344	0.6210450117
752	0.6670294954	0.6210262279
753	0.6670352783	0.621016836
754	0.6670685169	0.6210084402
755	0.6670974401	0.6209976253
756	0.6670873176	0.6209738609
757	0.6671205905	0.6209525868
758	0.6671090265	0.6209391393
759	0.6671639687	0.6208968757
760	0.6671625188	0.6208793015
761	0.6671697982	0.6208154081
762	0.6672088131	0.6207988299
763	0.6672044585	0.6207882996
764	0.6672189344	0.6207739983
765	0.6673057154	0.6207421939
766	0.6673216137	0.6207322328
767	0.6673664077	0.6207112433
768	0.6673852039	0.620698365
769	0.667349112	0.6206906807
770	0.6673418886	0.6206839926
771	0.6673896352	0.6206644972
772	0.6673665033	0.6206536823
773	0.6674113098	0.6206420847
774	0.6673549507	0.6206349696
775	0.6674127718	0.6206205972
776	0.6674012203	0.6206070785
777	0.6674302076	0.6205665226
778	0.6674374214	0.6205429717
779	0.6674735801	0.6205029849
780	0.6675198584	0.6204916719
781	0.6675155091	0.6204760188
782	0.6674576749	0.6204632828
783	0.667501052	0.6204458508
784	0.6675256334	0.6204337552
785	0.6676486731	0.6203528567
786	0.6676891438	0.6203347844
787	0.6676862735	0.6203236849
788	0.667637162	0.620309099
789	0.6675967109	0.6203011301
790	0.66760979	0.6202947977
791	0.6675793895	0.6202849789
792	0.667576463	0.6202728121
793	0.6676270355	0.6202565186
794	0.6676386548	0.6202245007
795	0.667614037	0.6202146819
796	0.6676169771	0.6202013767
797	0.6676155472	0.6201907041
798	0.667638699	0.6201738413
799	0.6676589605	0.62016943
800	0.6676401856	0.6201553421
801	0.6676532366	0.6201460925
802	0.6676648006	0.6201331431
803	0.6676807371	0.620121332
804	0.6676590574	0.6201067461
805	0.6676735324	0.6200916622
806	0.6676922743	0.6200770051
807	0.6677298824	0.6200645537
808	0.6677270607	0.6200457699
809	0.6677385897	0.6200365203
810	0.6677544431	0.6200202979
811	0.6677386036	0.6200068504
812	0.6677516513	0.6199904857
813	0.6678036714	0.6199727692
814	0.6678239585	0.6199554084
815	0.6678413179	0.6199459453
816	0.6678672866	0.6199302921
817	0.6679093061	0.6199072393
818	0.6679252489	0.6198951436
819	0.6678920345	0.6198859652
820	0.6679310876	0.6198759329
821	0.6679137271	0.6198612047
822	0.6678992815	0.619850959
823	0.6679455658	0.6198286176
824	0.6679527798	0.6198138894
825	0.667964359	0.6198039995
826	0.6680337296	0.6197900539
827	0.668058283	0.6197736181
828	0.6680409597	0.6197619493
829	0.6680120214	0.6197428098
830	0.6680496485	0.6197297892
831	0.6681175899	0.6196651131
832	0.6681393557	0.6196586384
833	0.6681944444	0.6196427006
834	0.6681422843	0.6196358701
835	0.6681510127	0.6196231341
836	0.668218945	0.6196032831
837	0.6682074352	0.6195925393
838	0.6682595901	0.6195786649
839	0.6682740511	0.6195649328
840	0.6682624906	0.6195500623
841	0.6682408193	0.6195397454
842	0.6682277978	0.6195333418
843	0.6682870933	0.6195196097
844	0.6682885014	0.6195089371
845	0.6682639409	0.6194951339
846	0.6682814182	0.6194700176
847	0.6682842453	0.6194587758
848	0.6683088703	0.6194412015
